ASV,Tax_Rank,Phylum,Class,Order,Family,Subfamily,Genus,Species,Confidence,Supporting_Recs,Best_ID_percent,Number_of_BOLD_hits,Top_hit_families,Top_hit_genera,Top_hit_species,Ambiguous_family,Ambiguous_genus,Ambiguous_species,Assignment_status
ASV1242,Unassigned,,,,,,,,,0,80.11,11,Fabaceae,Crotalaria,Crotalaria juncea,NO,NO,NO,Unassigned
ASV1245,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV1252,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV1256,Unassigned,,,,,,,,,0,85.00,100,,Jaagichlorella,Jaagichlorella geometrica,NO,NO,NO,Unassigned
ASV128,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV129,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV132,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV133,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV135,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV137,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV140,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV143,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV151,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV154,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV177,GENUS,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,,Salix,,100.0,100,100.00,100,Salicaceae,Salix,Salix alba;Salix alba x rubens;Salix babylonica;Salix fragilis;Salix rosthornii;Salix x rubens,NO,NO,YES,Assigned
ASV314,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,100,100.00,100,Rosaceae,Rubus,Rubus cochinchinensis;Rubus longior;Rubus negatus;Rubus oreades,NO,NO,YES,Assigned
ASV325,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,100,100.00,100,Rosaceae,Rubus,Rubus cochinchinensis;Rubus longior;Rubus negatus;Rubus oreades,NO,NO,YES,Assigned
ASV270,CLASS,Tracheophyta,Magnoliopsida,,,,,,100.0,96,99.77,100,Ranunculaceae,Helleborus,Helleborus viridis,NO,NO,NO,Assigned
ASV338,CLASS,Tracheophyta,Magnoliopsida,,,,,,100.0,94,100.00,100,Euphorbiaceae,Mercurialis,Mercurialis ovata,NO,NO,NO,Assigned
ASV276,CLASS,Tracheophyta,Magnoliopsida,,,,,,100.0,93,100.00,100,Euphorbiaceae,Mercurialis,Mercurialis perennis,NO,NO,NO,Assigned
ASV159,CLASS,Tracheophyta,Magnoliopsida,,,,,,100.0,89,99.02,100,Boraginaceae,Omphalodes,Omphalodes verna,NO,NO,NO,Assigned
ASV171,CLASS,Tracheophyta,Magnoliopsida,,,,,,100.0,89,99.02,100,Boraginaceae,Omphalodes,Omphalodes verna,NO,NO,NO,Assigned
ASV330,CLASS,Tracheophyta,Magnoliopsida,,,,,,100.0,89,99.02,100,Boraginaceae,Omphalodes,Omphalodes verna,NO,NO,NO,Assigned
ASV165,SUBFAMILY,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassicoideae,,,100.0,88,98.40,100,Brassicaceae,Cardamine,Cardamine parviflora,NO,NO,NO,Assigned
ASV198,CLASS,Tracheophyta,Magnoliopsida,,,,,,100.0,88,100.00,100,Ranunculaceae,Anemone,Anemone nemorosa,NO,NO,NO,Assigned
ASV306,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,85,97.94,100,Rosaceae,Rubus,Rubus fruticosus agg.,NO,NO,NO,Assigned
ASV161,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,73,97.33,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus canduliger;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus condensatus;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus foersteri;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus lindleianus;Rubus loehrii;Rubus muenteri;Rubus muridens;Rubus negatus;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus picearum;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus procerus;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus schleicheri;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV195,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,55,97.07,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus canduliger;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus condensatus;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus foersteri;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus lindleianus;Rubus loehrii;Rubus muenteri;Rubus muridens;Rubus negatus;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus picearum;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus procerus;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus schleicheri;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV229,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,55,97.07,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus canduliger;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus condensatus;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus foersteri;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus lindleianus;Rubus loehrii;Rubus muenteri;Rubus muridens;Rubus negatus;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus picearum;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus procerus;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus schleicheri;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV183,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Fragaria,,100.0,43,99.76,100,Rosaceae,Fragaria,Fragaria vesca,NO,NO,NO,Assigned
ASV19,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Fragaria,,100.0,43,99.76,100,Rosaceae,Fragaria,Fragaria vesca,NO,NO,NO,Assigned
ASV334,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Fragaria,,100.0,40,99.74,100,Rosaceae,Fragaria,Fragaria vesca,NO,NO,NO,Assigned
ASV335,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,36,96.80,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus canduliger;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus condensatus;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus erinulus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus foersteri;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus lindleianus;Rubus loehrii;Rubus muenteri;Rubus muridens;Rubus negatus;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus picearum;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus procerus;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus schleicheri;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV339,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,12,97.71,100,Rosaceae,Rubus,Rubus flagellaris;Rubus lasiandrus;Rubus pentagonus;Rubus pinnatisepalus;Rubus reflexus,NO,NO,YES,Assigned
ASV236,SUBFAMILY,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,,100.0,4,99.51,100,Rosaceae,Aremonia,Aremonia agrimonioides,NO,NO,NO,Assigned
ASV257,SUBFAMILY,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,,100.0,3,99.51,100,Rosaceae,Aremonia,Aremonia agrimonioides,NO,NO,NO,Assigned
ASV320,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.99,26,98.62,100,Rosaceae,Rubus,Rubus acuminatus;Rubus stimulans;Rubus subornatus,NO,NO,YES,Assigned
ASV312,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.9,92,100.00,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus loehrii;Rubus muenteri;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV216,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.88,26,98.91,100,Rosaceae,Rubus,Rubus pensilvanicus,NO,NO,NO,Assigned
ASV319,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.85,46,100.00,100,Rosaceae,Rubus,Rubus caesius;Rubus caesius x Rubus idaeus;Rubus idaeus;Rubus saxatilis,NO,NO,YES,Assigned
ASV302,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.84,87,98.62,100,Rosaceae,Rubus,Rubus fruticosus agg.,NO,NO,NO,Assigned
ASV318,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.84,87,98.62,100,Rosaceae,Rubus,Rubus fruticosus agg.,NO,NO,NO,Assigned
ASV224,CLASS,Tracheophyta,Magnoliopsida,,,,,,99.83,83,99.34,100,Boraginaceae,Omphalodes,Omphalodes verna,NO,NO,NO,Assigned
ASV244,CLASS,Tracheophyta,Magnoliopsida,,,,,,99.83,83,99.34,100,Boraginaceae,Omphalodes,Omphalodes verna,NO,NO,NO,Assigned
ASV329,GENUS,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculoideae,Clematis,,99.77,60,99.77,100,Ranunculaceae,Clematis,Clematis vitalba,NO,NO,NO,Assigned
ASV328,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.72,93,99.73,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus loehrii;Rubus muenteri;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV235,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.63,89,98.85,100,Rosaceae,Rubus,Rubus fruticosus agg.,NO,NO,NO,Assigned
ASV3,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.6,96,100.00,100,Rosaceae,Rubus,Rubus cochinchinensis,NO,NO,NO,Assigned
ASV25,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.59,97,100.00,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus loehrii;Rubus muenteri;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV189,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.59,96,99.73,100,Rosaceae,Rubus,Rubus cordiformis;Rubus surrectus,NO,NO,YES,Assigned
ASV26,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.58,98,99.77,100,Rosaceae,Rubus,Rubus fruticosus agg.,NO,NO,NO,Assigned
ASV202,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.58,97,99.77,100,Rosaceae,Rubus,Rubus fruticosus agg.,NO,NO,NO,Assigned
ASV233,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.58,97,99.77,100,Rosaceae,Rubus,Rubus fruticosus agg.,NO,NO,NO,Assigned
ASV20,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.57,97,100.00,100,Rosaceae,Rubus,Rubus leucandrus,NO,NO,NO,Assigned
ASV170,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.57,96,99.47,100,Rosaceae,Rubus,Rubus cochinchinensis;Rubus longior;Rubus negatus;Rubus oreades,NO,NO,YES,Assigned
ASV268,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.57,96,99.47,100,Rosaceae,Rubus,Rubus cochinchinensis;Rubus longior;Rubus negatus;Rubus oreades,NO,NO,YES,Assigned
ASV27,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.57,96,99.47,100,Rosaceae,Rubus,Rubus cochinchinensis;Rubus longior;Rubus negatus;Rubus oreades,NO,NO,YES,Assigned
ASV223,GENUS,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Coryloideae,Corylus,,99.56,6,98.00,100,,,,NO,NO,NO,Assigned
ASV160,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Amygdaloideae,Sorbus,,99.49,85,100.00,100,Rosaceae,Sorbus,Sorbus aria;Sorbus arvonensis;Sorbus cambrensis;Sorbus cheddarensis;Sorbus cuneifolia;Sorbus danubialis;Sorbus devoniensis;Sorbus eminens;Sorbus eminentiformis;Sorbus graeca;Sorbus hibernica;Sorbus leighensis;Sorbus leptophylla;Sorbus parviloba;Sorbus porrigentiformis;Sorbus richii;Sorbus rupicola;Sorbus rupicoloides;Sorbus saxicola;Sorbus stenophylla;Sorbus stirtoniana;Sorbus vexans;Sorbus whiteana,NO,NO,YES,Assigned
ASV24,GENUS,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculoideae,Clematis,,99.48,69,100.00,100,Ranunculaceae,Clematis,Clematis vitalba,NO,NO,NO,Assigned
ASV275,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.35,83,100.00,100,Rosaceae,Rubus,Rubus cochinchinensis;Rubus idaeus,NO,NO,YES,Assigned
ASV31,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rosa,,99.33,99,100.00,100,Rosaceae,Rosa,Rosa arvensis;Rosa caesia;Rosa canina;Rosa micrantha;Rosa obtusifolia;Rosa sericea;Rosa tomentosa,NO,NO,YES,Assigned
ASV18,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.32,98,100.00,100,Rosaceae,Rubus,Rubus adspersus;Rubus cochinchinensis;Rubus edeesii,NO,NO,YES,Assigned
ASV2,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.31,98,100.00,100,Rosaceae,Rubus,Rubus cochinchinensis;Rubus longior;Rubus negatus;Rubus oreades,NO,NO,YES,Assigned
ASV16,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.29,97,99.73,100,Rosaceae,Rubus,Rubus cochinchinensis;Rubus longior;Rubus negatus;Rubus oreades,NO,NO,YES,Assigned
ASV254,CLASS,Tracheophyta,Magnoliopsida,,,,,,99.22,95,99.77,100,Ranunculaceae,Helleborus,Helleborus viridis,NO,NO,NO,Assigned
ASV218,CLASS,Tracheophyta,Magnoliopsida,,,,,,99.21,95,99.54,100,Ranunculaceae,Helleborus,Helleborus viridis,NO,NO,NO,Assigned
ASV309,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Amygdaloideae,Sorbus,,99.11,84,99.77,100,Rosaceae,Sorbus,Sorbus aria;Sorbus arvonensis;Sorbus cambrensis;Sorbus cheddarensis;Sorbus eminens;Sorbus eminentiformis;Sorbus hibernica;Sorbus leighensis;Sorbus leptophylla;Sorbus parviloba;Sorbus porrigentiformis;Sorbus richii;Sorbus rupicola;Sorbus rupicoloides;Sorbus saxicola;Sorbus stenophylla;Sorbus stirtoniana;Sorbus vexans;Sorbus whiteana,NO,NO,YES,Assigned
ASV34,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.02,98,99.48,100,Rosaceae,Rubus,Rubus shihae,NO,NO,NO,Assigned
ASV162,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,98.67,88,100.00,100,Rosaceae,Rubus,Rubus cochinchinensis;Rubus idaeus;Rubus saxatilis,NO,NO,YES,Assigned
ASV21,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,98.51,79,99.77,100,Rosaceae,Rubus,Rubus idaeus;Rubus saxatilis,NO,NO,YES,Assigned
ASV248,SPECIES,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Digitalidoideae,Veronica,Veronica officinalis,94.52,17,100.00,100,Plantaginaceae,Veronica,Veronica officinalis,NO,NO,NO,Assigned
ASV188,SUBFAMILY,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculoideae,,,87.39,25,100.00,100,Ranunculaceae,Aconitum,Aconitum lycoctonum,NO,NO,NO,Assigned
ASV299,SUBFAMILY,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Amygdaloideae,,,76.49,64,100.00,100,Ranunculaceae,Helleborus,Helleborus niger,NO,NO,NO,Low-confidence
ASV28,SUBFAMILY,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Asteroideae,,,70.1,16,99.34,100,Boraginaceae,Omphalodes,Omphalodes verna,NO,NO,NO,Low-confidence
ASV158,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV167,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV174,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV179,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV180,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV182,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV197,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV200,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV201,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV203,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV204,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV206,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV207,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV211,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV219,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV226,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV231,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV243,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV247,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV251,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV265,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV267,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV269,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV281,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV282,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV284,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV286,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV289,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV29,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV290,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV303,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV305,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV315,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV316,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV317,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV32,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV322,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV323,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV327,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
